customer_id,customer_name,industry,region,segment,csm
CUST-001,Apex Robotics,Manufacturing,us-central1,Enterprise,Maya Tanaka
CUST-002,BlueWave Health,Healthcare,us-east1,Enterprise,Jon Bell
CUST-003,ClearPath Logistics,Logistics,us-west1,Mid-Market,Sofia Reyes
CUST-004,DeltaHire Studios,Media,europe-west1,Enterprise,Noah Kim
CUST-005,Evergreen Retail,Retail,us-east1,Mid-Market,Aiko Patel
CUST-006,Futura Bank,Financial Services,us-central1,Enterprise,Lina Chen
CUST-007,Granite Labs,Biotech,us-west1,Mid-Market,Owen Stone
CUST-008,HelioWorks,Energy,europe-west1,Enterprise,Priya Shah
CUST-009,IvyCloud,Software,us-east1,Enterprise,Samir Lee
CUST-010,Juno Foods,Food Services,us-central1,Mid-Market,Evelyn Park
CUST-011,KiteBridge,Consulting,us-east1,Mid-Market,Rina Ito
CUST-012,LatticeWorks,Construction,us-west1,Enterprise,Hugo Martin
CUST-013,MetroPulse,Transportation,us-central1,Enterprise,Grace Kim
CUST-014,Northstar Legal,Legal,us-east1,Mid-Market,Terry Young
CUST-015,OrbitCare,Healthcare,europe-west1,Enterprise,Nadia Singh
CUST-016,Pioneer Games,Gaming,us-west1,Mid-Market,Carlos Diaz
CUST-017,Quartz Education,Education,us-east1,Enterprise,Ari Green
CUST-018,Riverstone Insurance,Insurance,us-central1,Enterprise,Leah Morris
CUST-019,Summit Apparel,Retail,us-west1,Mid-Market,Kenji Sato
CUST-020,TerraGrid,Utilities,europe-west1,Enterprise,Marta Novak
CUST-021,UrbanLoop,Real Estate,us-east1,Mid-Market,Alex Morgan
CUST-022,VectorAI,Software,us-west1,Enterprise,Mei Lin
CUST-023,Willow Pharma,Pharma,us-central1,Enterprise,Omar Haddad
CUST-024,XenoFleet,Transportation,us-west1,Mid-Market,Sara Gomez
CUST-025,YieldWise,Agriculture,us-east1,Mid-Market,Dina Roy
